name,final
000001,LEFT
000002,LEFT
000003,RIGHT
000004,RIGHT
000005,CENTER
000006,CENTER
000007,CENTER
000008,CENTER
000009,CENTER
000010,CENTER
000011,CENTER
000012,CENTER
000013,CENTER
000014,CENTER
000015,CENTER
000016,CENTER
000017,CENTER
000018,CENTER
000019,CENTER
000020,CENTER
000021,CENTER
000022,CENTER
000023,CENTER
000024,CENTER
000025,CENTER
000026,CENTER
000027,RIGHT
000028,CENTER
000029,CENTER
000030,CENTER
000031,CENTER
000032,CENTER
000033,CENTER
000034,CENTER
000035,CENTER
000036,LEFT
000037,RIGHT
000038,CENTER
000039,RIGHT
000040,CENTER
000041,LEFT
000042,CENTER
000043,CENTER
000044,CENTER
000045,CENTER
000046,CENTER
000047,CENTER
000048,CENTER
000049,LEFT
000050,CENTER
000051,CENTER
000052,CENTER
000053,CENTER
000054,CENTER
000055,CENTER
000056,CENTER
000057,RIGHT
000058,CENTER
000059,LEFT
000060,LEFT
000061,RIGHT
000062,CENTER
000063,CENTER
000064,CENTER
000065,CENTER
000066,CENTER
000067,CENTER
000068,CENTER
000069,CENTER
000070,LEFT
000071,CENTER
000072,CENTER
000073,LEFT
000074,CENTER
000075,LEFT
000076,LEFT
000077,CENTER
000078,CENTER
000079,LEFT
000080,CENTER
000081,RIGHT
000082,CENTER
000083,CENTER
000084,CENTER
000085,CENTER
000086,RIGHT
000087,CENTER
000088,LEFT
000089,CENTER
000090,CENTER
000091,CENTER
000092,CENTER
000093,CENTER
000094,CENTER
000095,CENTER
000096,CENTER
000097,CENTER
000098,LEFT
000099,CENTER
000100,RIGHT
000101,CENTER
000102,LEFT
000103,CENTER
000104,CENTER
000105,CENTER
000106,CENTER
000107,CENTER
000108,CENTER
000109,CENTER
000110,CENTER
000111,CENTER
000112,CENTER
000113,CENTER
000114,CENTER
000115,CENTER
000116,CENTER
000117,CENTER
000118,RIGHT
000119,CENTER
000120,RIGHT
000121,CENTER
000122,CENTER
000123,CENTER
000124,RIGHT
000125,CENTER
000126,LEFT
000127,CENTER
000128,CENTER
000129,CENTER
000130,CENTER
000131,LEFT
000132,CENTER
000133,CENTER
000134,LEFT
000135,CENTER
000136,CENTER
000137,RIGHT
000138,CENTER
000139,LEFT
000140,CENTER
000141,CENTER
000142,CENTER
000143,CENTER
000144,LEFT
000145,CENTER
000146,RIGHT
000147,CENTER
000148,RIGHT
000149,CENTER
000150,CENTER
000151,CENTER
000152,CENTER
000153,CENTER
000154,CENTER
000155,CENTER
000156,CENTER
000157,CENTER
000158,CENTER
000159,LEFT
000160,CENTER
000161,CENTER
000162,CENTER
000163,LEFT
000164,CENTER
000165,CENTER
000166,CENTER
000167,RIGHT
000168,RIGHT
000169,CENTER
000170,CENTER
000171,CENTER
000172,CENTER
000173,CENTER
000174,CENTER
000175,CENTER
000176,CENTER
000177,RIGHT
000178,CENTER
000179,CENTER
000180,CENTER
000181,LEFT
000182,CENTER
000183,LEFT
000184,LEFT
000185,LEFT
000186,LEFT
000187,LEFT
000188,LEFT
000189,LEFT
000190,CENTER
000191,CENTER
000192,CENTER
000193,CENTER
000194,LEFT
000195,RIGHT
000196,CENTER
000197,LEFT
000198,CENTER
000199,CENTER
000200,CENTER
000201,CENTER
000202,RIGHT
000203,CENTER
000204,CENTER
000205,CENTER
000206,LEFT
000207,CENTER
000208,CENTER
000209,CENTER
000210,CENTER
000211,CENTER
000212,CENTER
000213,CENTER
000214,CENTER
000215,CENTER
000216,CENTER
000217,CENTER
000218,RIGHT
000219,LEFT
000220,RIGHT
000221,CENTER
000222,CENTER
000223,CENTER
000224,CENTER
000225,CENTER
000226,CENTER
000227,RIGHT
000228,CENTER
000229,CENTER
000230,CENTER
000231,CENTER
000232,LEFT
000233,LEFT
000234,LEFT
000235,CENTER
000236,CENTER
000237,CENTER
000238,CENTER
000239,CENTER
000240,LEFT
